Id;Name;Averages;180's;Checkout Pcnt;Pcnt Legs Won;Highest Checkout;First 9 Averages;First 3 Averages;With Throw Averages;Against Throw Averages;Pcnt 12 Darter When Possible;Pcnt 15 Darter When Possible;Pcnt 18 Darter When Possible;Pcnt Legs Won Throwing First;Pcnt Legs Won Throwing Second;Checkout Pcnt 1 Darter;Checkout Pcnt 2 Darter;Checkout Pcnt 3 Darter;180's per leg;171-180's;171-180's per leg;140's;131-140's;Deciding Leg Averages;Pcnt Deciding Legs Won;Treble 20 Hit Pcnt;Stray Treble 20 Pcnt;Treble 19 Hit Pcnt;Stray Treble 19 Pcnt;Checkout Pcnt 3rd Dart;Bullseye Checkout Pcnt;Starting Double Averages;Starting Double Hit Pcnt;Starting Double First Dart Hit Pcnt;Starting Double First Visit Hit Pcnt
5403;Luke Littler;100.95;983;41.96%;59.79%;170;112.14;112.33;99.46;102.80;15.57%;56.88%;89.16%;71.31%;48.02%;77.72%;53.51%;13.12%;0.46;1,054;0.49;1,263;2,010;105.67;48.84%;47.19%;6.65%;42.45%;7.00%;38.46%;28.66%;103.93;41.18%;50.00%;78.57%
20114;Josh Rock;98.28;602;40.88%;56.41%;170;108.53;107.27;96.56;100.31;11.72%;47.77%;85.60%;68.45%;44.68%;75.48%;51.17%;12.51%;0.39;657;0.42;1,004;1,472;94.67;41.94%;43.62%;6.16%;43.05%;6.12%;41.90%;29.69%;88.70;40.00%;62.50%;75.00%
10;Gary Anderson;98.25;417;41.53%;56.59%;170;107.68;106.38;96.57;100.52;11.56%;48.92%;85.25%;71.00%;42.90%;73.76%;53.10%;11.53%;0.34;473;0.39;767;1,130;96.29;62.50%;43.91%;6.92%;41.86%;8.59%;36.77%;33.33%;97.50;44.83%;38.46%;88.46%
36;Stephen Bunting;97.90;716;40.33%;55.66%;170;107.75;107.85;96.36;99.82;10.09%;45.69%;86.21%;69.74%;41.38%;78.47%;48.29%;9.37%;0.35;751;0.36;1,455;1,935;105.51;63.46%;42.67%;5.25%;39.67%;5.91%;35.44%;28.77%;102.00;30.77%;25.00%;75.00%
34;Luke Humphries;97.84;583;39.96%;57.55%;170;108.19;107.16;96.59;100.35;10.13%;49.23%;86.73%;70.26%;45.38%;77.76%;51.00%;10.72%;0.32;617;0.34;1,204;1,801;101.80;55.00%;43.72%;7.00%;43.22%;7.92%;40.33%;15.19%;99.75;44.26%;40.74%;83.33%
2;Gerwyn Price;97.63;614;42.03%;56.65%;170;106.67;106.76;96.81;98.93;9.69%;49.38%;87.09%;70.21%;43.13%;77.40%;53.05%;11.56%;0.32;696;0.36;1,045;1,724;97.48;50.00%;43.46%;8.51%;41.73%;7.05%;41.45%;28.57%;93.62;37.50%;37.04%;74.07%
2641;Gian van Veen;97.21;558;45.45%;57.48%;170;105.33;104.65;96.58;97.99;8.69%;47.55%;86.72%;71.64%;43.33%;83.60%;55.68%;11.76%;0.30;590;0.31;1,186;1,741;103.15;45.00%;40.87%;6.03%;42.56%;4.52%;44.53%;16.67%;104.13;43.75%;14.29%;85.71%
3;Michael van Gerwen;97.11;368;41.42%;53.45%;170;105.85;106.07;95.36;99.09;8.76%;46.62%;84.89%;64.11%;42.79%;76.50%;49.92%;12.94%;0.28;445;0.33;680;1,267;97.58;52.00%;42.47%;8.51%;42.14%;7.12%;39.31%;32.00%;89.83;66.67%;66.67%;100.00%
14;Dirk van Duijvenbode;96.70;600;39.60%;55.56%;170;106.87;105.23;95.35;98.25;10.22%;45.03%;82.99%;67.73%;43.11%;73.95%;48.98%;11.66%;0.40;650;0.44;723;1,283;96.19;32.35%;43.09%;7.92%;40.75%;6.06%;36.66%;26.09%;;;;
39;Chris Dobey;96.63;599;37.84%;53.96%;170;106.54;105.41;94.88;98.83;8.30%;44.24%;82.30%;66.27%;41.38%;71.76%;45.49%;11.65%;0.36;647;0.39;880;1,499;99.13;55.17%;42.21%;6.59%;41.88%;5.80%;36.38%;26.58%;99.73;31.43%;27.27%;45.45%
