Id;Name;Averages;180's;Checkout Pcnt;Pcnt Legs Won;Highest Checkout;First 9 Averages;First 3 Averages;With Throw Averages;Against Throw Averages;Pcnt 12 Darter When Possible;Pcnt 15 Darter When Possible;Pcnt 18 Darter When Possible;Pcnt Legs Won Throwing First;Pcnt Legs Won Throwing Second;Checkout Pcnt 1 Darter;Checkout Pcnt 2 Darter;Checkout Pcnt 3 Darter;180's per leg;171-180's;171-180's per leg;140's;131-140's;Deciding Leg Averages;Pcnt Deciding Legs Won;Treble 20 Hit Pcnt;Stray Treble 20 Pcnt;Treble 19 Hit Pcnt;Stray Treble 19 Pcnt;Checkout Pcnt 3rd Dart;Bullseye Checkout Pcnt;Starting Double Averages;Starting Double Hit Pcnt;Starting Double First Dart Hit Pcnt;Starting Double First Visit Hit Pcnt;AvgNorm;CheckoutNorm;LegsNorm;180Norm;Form
5403;Luke Littler;100.95;983.0;41.96;59.79;170.0;112.14;112.33;99.46;102.8;15.57%;56.88%;89.16%;71.31%;48.02%;77.72%;53.51%;13.12%;0.46;1,054;0.49;1,263;2,010;105.67;48.84%;47.19%;6.65%;42.45%;7.00%;38.46%;28.66%;103.93;41.18%;50.00%;78.57%;10.0;0.30371024479219444;0.31888;10.0;5.1548890734376585
20114;Josh Rock;98.28;602.0;40.88;56.41;170.0;108.53;107.27;96.56;100.31;11.72%;47.77%;85.60%;68.45%;44.68%;75.48%;51.17%;12.51%;0.39;657;0.42;1,004;1,472;94.67;41.94%;43.62%;6.16%;43.05%;6.12%;41.90%;29.69%;88.7;40.00%;62.50%;75.00%;9.735329103885805;0.29589310789096546;0.3008533333333333;6.120162932790224;4.655086533867301
10;Gary Anderson;98.25;417.0;41.53;56.59;170.0;107.68;106.38;96.57;100.52;11.56%;48.92%;85.25%;71.00%;42.90%;73.76%;53.10%;11.53%;0.34;473;0.39;767;1,130;96.29;62.50%;43.91%;6.92%;41.86%;8.59%;36.77%;33.33%;97.5;44.83%;38.46%;88.46%;9.732355273592386;0.3005978662111496;0.3018133333333333;4.236252545824847;4.46710939054945
36;Stephen Bunting;97.9;716.0;40.33;55.66;170.0;107.75;107.85;96.36;99.82;10.09%;45.69%;86.21%;69.74%;41.38%;78.47%;48.29%;9.37%;0.35;751;0.36;1,455;1,935;105.51;63.46%;42.67%;5.25%;39.67%;5.91%;35.44%;28.77%;102.0;30.77%;25.00%;75.00%;9.697660586835845;0.2919121585431173;0.2968533333333333;7.281059063136456;4.754114455277586
34;Luke Humphries;97.84;583.0;39.96;57.55;170.0;108.19;107.16;96.59;100.35;10.13%;49.23%;86.73%;70.26%;45.38%;77.76%;51.00%;10.72%;0.32;617;0.34;1,204;1,801;101.8;55.00%;43.72%;7.00%;43.22%;7.92%;40.33%;15.19%;99.75;44.26%;40.74%;83.33%;9.691712926249009;0.289234065345474;0.30693333333333334;5.926680244399185;4.617510081209831
2;Gerwyn Price;97.63;614.0;42.03;56.65;170.0;106.67;106.76;96.81;98.93;9.69%;49.38%;87.09%;70.21%;43.13%;77.40%;53.05%;11.56%;0.32;696;0.36;1,045;1,724;97.48;50.00%;43.46%;8.51%;41.73%;7.05%;41.45%;28.57%;93.62;37.50%;37.04%;74.07%;9.670896114195083;0.30421691107282967;0.3021333333333333;6.242362525458248;4.644286438212374
2641;Gian van Veen;97.21;558.0;45.45;57.48;170.0;105.33;104.65;96.58;97.99;8.69%;47.55%;86.72%;71.64%;43.33%;83.60%;55.68%;11.76%;0.3;590;0.31;1,186;1,741;103.15;45.00%;40.87%;6.03%;42.56%;4.52%;44.53%;16.67%;104.13;43.75%;14.29%;85.71%;9.629262490087232;0.3289711779267216;0.30656;5.672097759674134;4.578918125380322
3;Michael van Gerwen;97.11;368.0;41.42;53.45;170.0;105.85;106.07;95.36;99.09;8.76%;46.62%;84.89%;64.11%;42.79%;76.50%;49.92%;12.94%;0.28;445;0.33;680;1,267;97.58;52.00%;42.47%;8.51%;42.14%;7.12%;39.31%;32.00%;89.83;66.67%;66.67%;100.00%;9.619349722442506;0.29980167634157995;0.2850666666666667;3.7372708757637474;4.368420812789184
14;Dirk van Duijvenbode;96.7;600.0;39.6;55.56;170.0;106.87;105.23;95.35;98.25;10.22%;45.03%;82.99%;67.73%;43.11%;73.95%;48.98%;11.66%;0.4;650;0.44;723;1,283;96.19;32.35%;43.09%;7.92%;40.75%;6.06%;36.66%;26.09%;;;;;9.578707375099128;0.2866283530450644;0.29632000000000003;6.09979633401222;4.586715089354393
39;Chris Dobey;96.63;599.0;37.84;53.96;170.0;106.54;105.41;94.88;98.83;8.30%;44.24%;82.30%;66.27%;41.38%;71.76%;45.49%;11.65%;0.36;647;0.39;880;1,499;99.13;55.17%;42.21%;6.59%;41.88%;5.80%;36.38%;26.58%;99.73;31.43%;27.27%;45.45%;9.571768437747819;0.2738893151319504;0.2877866666666667;6.089613034623218;4.577392806434368
