name,country,avg,url
Luke Littler,ENG,100.95,https://app.dartsorakel.com/player/details/5403
Josh Rock,NIR,98.28,https://app.dartsorakel.com/player/details/20114
Gary Anderson,SCO,98.25,https://app.dartsorakel.com/player/details/10
Stephen Bunting,ENG,97.90,https://app.dartsorakel.com/player/details/36
Luke Humphries,ENG,97.84,https://app.dartsorakel.com/player/details/34
Gerwyn Price,WAL,97.63,https://app.dartsorakel.com/player/details/2
Gian van Veen,NED,97.21,https://app.dartsorakel.com/player/details/2641
Michael van Gerwen,NED,97.11,https://app.dartsorakel.com/player/details/3
Dirk van Duijvenbode,NED,96.70,https://app.dartsorakel.com/player/details/14
Chris Dobey,ENG,96.63,https://app.dartsorakel.com/player/details/39
Wessel Nijman,NED,96.53,https://app.dartsorakel.com/player/details/130
Ross Smith,ENG,96.25,https://app.dartsorakel.com/player/details/26
Damon Heta,AUS,96.09,https://app.dartsorakel.com/player/details/13
Rob Cross,ENG,96.00,https://app.dartsorakel.com/player/details/29
Jonny Clayton,WAL,95.83,https://app.dartsorakel.com/player/details/20
Ryan Searle,ENG,95.71,https://app.dartsorakel.com/player/details/31
Danny Noppert,NED,95.28,https://app.dartsorakel.com/player/details/22
Nathan Aspinall,ENG,95.26,https://app.dartsorakel.com/player/details/8
Jermaine Wattimena,NED,95.25,https://app.dartsorakel.com/player/details/18
James Wade,ENG,95.10,https://app.dartsorakel.com/player/details/7
Krzysztof Ratajski,POL,94.98,https://app.dartsorakel.com/player/details/12
Mike De Decker,BEL,94.65,https://app.dartsorakel.com/player/details/66
Dom Taylor,ENG,94.45,https://app.dartsorakel.com/player/details/2345
William O&#039;Connor,IRL,94.25,https://app.dartsorakel.com/player/details/30
Callan Rydz,ENG,94.22,https://app.dartsorakel.com/player/details/35
Martin Schindler,GER,94.18,https://app.dartsorakel.com/player/details/82
Michael Smith,ENG,94.00,https://app.dartsorakel.com/player/details/5
Niko Springer,GER,93.86,https://app.dartsorakel.com/player/details/196
Connor Scutt,ENG,93.86,https://app.dartsorakel.com/player/details/2317
Andrew Gilding,ENG,93.62,https://app.dartsorakel.com/player/details/2088
Daryl Gurney,NIR,93.48,https://app.dartsorakel.com/player/details/24
Dave Chisnall,ENG,93.31,https://app.dartsorakel.com/player/details/21
Peter Wright,SCO,93.23,https://app.dartsorakel.com/player/details/1
Ryan Joyce,ENG,93.17,https://app.dartsorakel.com/player/details/28
Karel Sedláček,CZE,93.10,https://app.dartsorakel.com/player/details/44
Cameron Menzies,SCO,92.89,https://app.dartsorakel.com/player/details/2221
Luke Woodhouse,ENG,92.88,https://app.dartsorakel.com/player/details/70
Gabriel Clemens,GER,92.66,https://app.dartsorakel.com/player/details/38
James Hurrell,ENG,92.65,https://app.dartsorakel.com/player/details/5190
Niels Zonneveld,NED,92.50,https://app.dartsorakel.com/player/details/55
Raymond van Barneveld,NED,92.39,https://app.dartsorakel.com/player/details/1982
Derek Coulson,WAL,92.19,https://app.dartsorakel.com/player/details/5415
Bradley Brooks,ENG,92.10,https://app.dartsorakel.com/player/details/74
Madars Razma,LTV,91.99,https://app.dartsorakel.com/player/details/42
Ian White,ENG,91.88,https://app.dartsorakel.com/player/details/17
Robert Owen,WAL,91.84,https://app.dartsorakel.com/player/details/2255
Ritchie Edhouse,ENG,91.84,https://app.dartsorakel.com/player/details/2062
Martin Lukeman,ENG,91.78,https://app.dartsorakel.com/player/details/2201
Wesley Plaisier,NED,91.72,https://app.dartsorakel.com/player/details/2273
Mensur Suljović,AUT,91.71,https://app.dartsorakel.com/player/details/9
Mickey Mansell,NIR,91.68,https://app.dartsorakel.com/player/details/65
Simon Stevenson,ENG,91.59,https://app.dartsorakel.com/player/details/85
Ricky Evans,ENG,91.55,https://app.dartsorakel.com/player/details/45
Joe Cullen,ENG,91.49,https://app.dartsorakel.com/player/details/6
Steve Lennon,IRL,91.41,https://app.dartsorakel.com/player/details/46
Kim Huybrechts,BEL,91.40,https://app.dartsorakel.com/player/details/51
Justin Hood,ENG,91.38,https://app.dartsorakel.com/player/details/2138
Matthew Dennant,ENG,91.28,https://app.dartsorakel.com/player/details/2047
Shaun Fox,ENG,91.27,https://app.dartsorakel.com/player/details/6375
Scott Williams,ENG,91.26,https://app.dartsorakel.com/player/details/5137
Jamie Lewis,WAL,91.18,https://app.dartsorakel.com/player/details/111
Matt Campbell,CAN,91.09,https://app.dartsorakel.com/player/details/4120
Dylan Slevin,IRL,91.07,https://app.dartsorakel.com/player/details/20117
Lukas Wenig,GER,91.06,https://app.dartsorakel.com/player/details/148
Ricardo Pietreczko,GER,91.05,https://app.dartsorakel.com/player/details/153
Florian Hempel,GER,91.00,https://app.dartsorakel.com/player/details/151
Alan Soutar,SCO,90.99,https://app.dartsorakel.com/player/details/5138
Kevin Doets,NED,90.98,https://app.dartsorakel.com/player/details/2052
Andy Baetens,BEL,90.95,https://app.dartsorakel.com/player/details/5146
Brendan Dolan,NIR,90.84,https://app.dartsorakel.com/player/details/23
Richard Veenstra,NED,90.83,https://app.dartsorakel.com/player/details/5145
Mario Vandenbogaerde,BEL,90.69,https://app.dartsorakel.com/player/details/2363
Cam Crabtree,ENG,90.68,https://app.dartsorakel.com/player/details/33021
Nick Kenny,WAL,90.60,https://app.dartsorakel.com/player/details/84
Tom Sykes,,90.59,https://app.dartsorakel.com/player/details/48910
Jeffrey de Graaf,SWE,90.52,https://app.dartsorakel.com/player/details/2092
Chris Landman,NED,90.50,https://app.dartsorakel.com/player/details/5183
Boris Krcmar,CRO,90.48,https://app.dartsorakel.com/player/details/48463
Rob Owen,,90.42,https://app.dartsorakel.com/player/details/21128
Maik Kuivenhoven,NED,90.38,https://app.dartsorakel.com/player/details/91
Darren Beveridge,SCO,90.34,https://app.dartsorakel.com/player/details/1993
Beau Greaves,ENG,90.33,https://app.dartsorakel.com/player/details/138
Darryl Pilgrim,ENG,90.28,https://app.dartsorakel.com/player/details/5185
Graham Hall,ENG,90.18,https://app.dartsorakel.com/player/details/5358
Ryan Meikle,ENG,90.17,https://app.dartsorakel.com/player/details/47
Shane McGuirk,IRL,90.11,https://app.dartsorakel.com/player/details/3043
Greg Ritchie,SCO,89.87,https://app.dartsorakel.com/player/details/2295
Keane Barry,IRL,89.82,https://app.dartsorakel.com/player/details/129
Stephen Burton,ENG,89.66,https://app.dartsorakel.com/player/details/2014
Thibault Tricole,FRA,89.66,https://app.dartsorakel.com/player/details/5193
Jim Williams,WAL,89.64,https://app.dartsorakel.com/player/details/2390
Steve Beaton,ENG,89.56,https://app.dartsorakel.com/player/details/72
Jimmy van Schie,NED,89.50,https://app.dartsorakel.com/player/details/10123
Tom Bissell,ENG,89.40,https://app.dartsorakel.com/player/details/46158
Adam Hunt,ENG,89.35,https://app.dartsorakel.com/player/details/43
Mervyn King,ENG,89.31,https://app.dartsorakel.com/player/details/19
Christian Kist,NED,89.31,https://app.dartsorakel.com/player/details/2171
Raymond Smith,AUS,89.27,https://app.dartsorakel.com/player/details/5136
Dominik Gruellich,GER,89.22,https://app.dartsorakel.com/player/details/254
Brody Klinge,AUS,89.19,https://app.dartsorakel.com/player/details/5149
Patrick Geeraets,NED,89.03,https://app.dartsorakel.com/player/details/9121
Vincent van der Voort,NED,88.99,https://app.dartsorakel.com/player/details/16
Sebastian Bialecki,POL,88.88,https://app.dartsorakel.com/player/details/3038
Andy Boulton,SCO,88.84,https://app.dartsorakel.com/player/details/33
Ted Evetts,ENG,88.81,https://app.dartsorakel.com/player/details/93
Llew Bevan,WAL,88.81,https://app.dartsorakel.com/player/details/2855
Charlie Manby,ENG,88.80,https://app.dartsorakel.com/player/details/5636
Martijn Dragt,NED,88.74,https://app.dartsorakel.com/player/details/7302
Dimitri Van den Bergh,BEL,88.69,https://app.dartsorakel.com/player/details/25
Radoslaw Szaganski,POL,88.69,https://app.dartsorakel.com/player/details/5207
Jack Tweddell,ENG,88.66,https://app.dartsorakel.com/player/details/2672
Jose De Sousa,POR,88.64,https://app.dartsorakel.com/player/details/4
Jeff Smith,CAN,88.63,https://app.dartsorakel.com/player/details/54
Daniel Lauby Jr.,USA,88.61,https://app.dartsorakel.com/player/details/20088
Darius Labanauskas,LTH,88.58,https://app.dartsorakel.com/player/details/57
Owen Bates,ENG,88.57,https://app.dartsorakel.com/player/details/14661
Kai Gotthardt,GER,88.57,https://app.dartsorakel.com/player/details/158
Jeffrey de Zwaan,NED,88.56,https://app.dartsorakel.com/player/details/48
Richie Howson,ENG,88.49,https://app.dartsorakel.com/player/details/2142
Daniel Ayres,ENG,88.45,https://app.dartsorakel.com/player/details/1975
Robert Grundy,,88.44,https://app.dartsorakel.com/player/details/24885
Seigo Asada,JPN,88.41,https://app.dartsorakel.com/player/details/1969
William Borland,SCO,88.27,https://app.dartsorakel.com/player/details/87
Gary Stone,SCO,88.20,https://app.dartsorakel.com/player/details/2337
Andreas Harrysson,SWE,88.17,https://app.dartsorakel.com/player/details/2116
Reece Robinson,ENG,88.15,https://app.dartsorakel.com/player/details/100
Carl Wilson,ENG,88.06,https://app.dartsorakel.com/player/details/10542
Max Hopp,GER,88.05,https://app.dartsorakel.com/player/details/59
Daniel Klose,GER,88.04,https://app.dartsorakel.com/player/details/157
Jamai van den Herik,NED,88.02,https://app.dartsorakel.com/player/details/2689
Alexander Merkx,NED,88.00,https://app.dartsorakel.com/player/details/2223
Thomas Sykes,ENG,87.99,https://app.dartsorakel.com/player/details/3071
Jamie Atkins,ENG,87.95,https://app.dartsorakel.com/player/details/5532
George Killington,ENG,87.89,https://app.dartsorakel.com/player/details/2168
Jelle Klaasen,NED,87.88,https://app.dartsorakel.com/player/details/64
Martin Grearson,ENG,87.84,https://app.dartsorakel.com/player/details/6444
Nathan Rafferty,NIR,87.78,https://app.dartsorakel.com/player/details/132
Cor Dekker,NOR,87.73,https://app.dartsorakel.com/player/details/2046
Jurjen van der Velde,NED,87.71,https://app.dartsorakel.com/player/details/2784
Stefan Bellmont,SUI,87.68,https://app.dartsorakel.com/player/details/1989
